StreetNumber,StreetName,City,StateOrProvince,CountyOrParish,PostalCode,ClosePrice,ElementarySchool,MiddleSchool,HighSchool,SubdComplex,Stories,UpperBedrooms,UpperFullBaths,UpperHalfBaths,MainBedrooms,MainFullBaths,MainHalfBaths,LowerBedrooms,LowerFullBaths,LowerHalfBaths,ParkingDesc,BasementDesc,FireplacesNum,PoolonProperty,YearBuilt,Exterior,SqFtTotal,AssociationFee,CloseDate,CDOM
390,Sutherland,Atlanta,Georgia,Dekalb,30307,660000,Lin,Inman,Grady,Sutherland Place,2 Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Bath, Daylight, Driveway Access, Exterior Entry, Finished, Full",1,None,2004,"Deck, Front Porch, Prof Landscaping",3500,,10/18/2012,93
2124,Palifox,Atlanta,Georgia,Dekalb,30307,655000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"Driveway, Kitchen Level",Crawl Space,1,None,2014,"Front Porch, Patio, Prof Landscaping",2463,0,4/15/2015,137
435,Ridgewood,Atlanta,Georgia,Dekalb,30307,651200,Lin,Inman,Grady,Lake Claire,2 Stories,2,1,0,2,1,1,0,0,0,"Driveway, Parking Pad, Side/Rear Entry",Crawl Space,1,None,1939,"Deck, Fenced Yard, Front Porch, Garden Area, Outdoor Fireplace, Patio",2800,0,4/27/2015,25
350,FERGUSON,Atlanta,Georgia,Dekalb,30307,650000,Lin,Inman,Grady,CANDLER PARK,2 Stories,2,1,0,2,1,0,0,0,0,"2 Car Carport, Driveway, Kitchen Level, Side/Rear Entry","Interior Entry, Partial",3,None,1920,"Deck, Front Porch, Garden Area, Out-Buildings, Outdoor Fireplace",2612,0,9/28/2012,129
352,Oakdale,Atlanta,Georgia,Dekalb,30307,650000,Lin,Inman,Grady,Candler Park,1 Story,0,0,0,4,3,0,0,0,0,"1 Car Garage, Parking Pad, Street",Crawl Space,1,None,1900,"Deck, Fenced Yard, Front Porch, Garden Area, Irrigation System, Wrap-Around Porch",2478,0,4/21/2015,13
420,Lakeshore,Atlanta,Georgia,Dekalb,30307,649000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,3,2,0,1,1,0,0,0,0,"2 Car Garage, Attached, Drive Under Main Level, Driveway","Daylight, Driveway Access, Finished, Full",1,None,1995,"Deck, Front Porch, Prof Landscaping, Wrap-Around Porch",2850,0,9/17/2015,33
611,Harold,Atlanta,Georgia,Dekalb,30307,648500,Lin,Inman,Grady,Lake Claire,2 Or + Stories,3,3,0,1,1,0,0,0,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level, Storage Room","Bath/Stubbed, Full",1,None,2004,"Deck, Front Porch, Garden Area",2714,0,4/23/2013,144
2091,McLendon,Atlanta,Georgia,Dekalb,30307,645000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,1,0,0,0,Driveway,Partial,0,None,1955,"Deck, Fenced Yard, Front Porch, Irrigation System, Out-Buildings, Patio, Prof Landscaping",0,0,7/18/2014,79
1284,Druid Place,Atlanta,Georgia,Dekalb,30307,643500,Lin,Inman,Grady,Candler Park,2 Stories,2,1,0,2,2,0,0,0,0,"Driveway, Street",Crawl Space,2,"Heated Pool, In Ground",1910,"Deck, Fenced Yard, Front Porch, Garden Area, Irrigation System, Out-Buildings, Patio, Pool House, Prof Landscaping, Wrap-Around Porch",2760,0,3/1/2013,79
421,Lakeshore,Atlanta,Georgia,Dekalb,30307,640000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"2 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Bath/Stubbed, Exterior Entry, Interior Entry, Unfinished",1,None,2000,"Deck, Outdoor Fireplace, Patio",2174,,10/4/2013,107
420,Sutherland,Atlanta,Georgia,Dekalb,30307,639000,Lin,Inman,Grady,Sutherland Place,2 Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door, Drive Under Main Level","Bath, Daylight, Finished, Full, Interior Entry",1,None,2003,"1-2 Step Entry, Deck, Front Porch, Prof Landscaping",2876,0,9/25/2013,37
2055,Howard,Atlanta,Georgia,Dekalb,30307,637900,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"1 Car Garage, Detached, Side/Rear Entry, Storage Room",Partial,1,None,2014,"Deck, Fenced Yard, Front Porch, Patio, Prof Landscaping",2370,0,5/4/2015,70
1373,Marion,Atlanta,Georgia,Dekalb,30307,631400,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,1,0,0,0,0,"Driveway, Parking Pad",Crawl Space,3,None,1920,"Deck, Fenced Yard, Front Porch, Garden Area, Irrigation System, Other, Out-Buildings",2407,0,2/25/2014,103
499,Claire,Atlanta,Georgia,Dekalb,30307,630000,Lin,Inman,Grady,Lake Claire,2 Stories,1,1,0,2,1,1,0,0,0,"1 Car Garage, Detached, Kitchen Level, Parking Pad","Crawl Space, Partial, Unfinished",1,None,1935,"Deck, Fenced Yard, Prof Landscaping",2727,0,5/27/2016,13
346,Oakdale,Atlanta,Georgia,Dekalb,30307,625000,Lin,Inman,Grady,Candler Park,2 Stories,2,1,0,2,2,0,0,0,0,Driveway,Crawl Space,3,None,1900,"Deck, Fenced Yard, Front Porch, Garden Area",2496,0,7/7/2015,10
1259,McLendon,Atlanta,Georgia,Dekalb,30307,624233,Lin,Inman,Grady,Candler Park,1 & 1/2 Stories,1,1,0,2,2,0,2,1,0,"Parking Pad, Side/Rear Entry","Bath, Daylight, Exterior Entry, Finished, Interior Entry",3,None,1921,"Deck, Front Porch, Garden Area, Out-Buildings, Patio",0,0,6/2/2016,46
441,Leonardo,Atlanta,Georgia,Dekalb,30307,622500,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"2 Car Garage, Auto Garage Door, Detached, Storage Room",Crawl Space,1,None,1940,"Fenced Yard, Front Porch, Out-Buildings, Patio, Prof Landscaping",2107,0,8/24/2015,12
408,Sutherland,Atlanta,Georgia,Dekalb,30307,620000,Lin,Inman,Grady,Sutherland Place,2 Stories,3,2,0,0,0,1,0,0,0,"2 Car Garage, Drive Under Main Level","Daylight, Unfinished",2,None,2003,"Front Porch, Prof Landscaping",0,0,6/3/2013,2
2004,Tuxedo,Atlanta,Georgia,Dekalb,30307,620000,Lin,Inman,Grady,Lake Claire,1 & 1/2 Stories,1,1,0,2,1,0,0,0,0,Driveway,Interior Entry,1,None,1940,"Fenced Yard, Garden Area, Other, Out-Buildings",2396,0,4/18/2016,49
250,Mathews,Atlanta,Georgia,Dekalb,30307,619900,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,2,2,0,0,0,0,"2 Car Garage, Auto Garage Door, Detached, Driveway",Crawl Space,1,None,2012,"Deck, Front Porch",2850,0,5/4/2012,341
351,Candler Park,Atlanta,Georgia,Dekalb,30307,616500,Lin,Inman,Grady,Candler Park,2 Stories,4,2,0,0,0,1,0,0,0,"1 Car Garage, Driveway",Crawl Space,2,None,1915,"Fenced Yard, Front Porch, Garden Area, Wrap-Around Porch",2572,0,9/18/2015,128
1364,Hooper,Atlanta,Georgia,Dekalb,30307,615000,Lin,Inman,Grady,Candler Park,2 Stories,4,2,0,1,1,0,0,0,0,"Driveway, Parking Pad",Crawl Space,1,None,1994,"Deck, Front Porch, Out-Buildings, Patio",2366,0,12/16/2014,48
261,Southerland,Atlanta,Georgia,Dekalb,30307,615000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,3,2,0,0,0,1,0,0,0,"Driveway, Parking Pad","Bath/Stubbed, Daylight, Driveway Access, Exterior Entry, Full, Interior Entry",5,None,1920,"1-2 Step Entry, Deck, Fenced Yard",0,0,3/31/2016,2
1619,McLendon,Atlanta,Georgia,Dekalb,30307,610826,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,1,1,0,0,0,"2 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Bath/Stubbed, Daylight, Driveway Access, Exterior Entry, Finished, Interior Entry",1,None,1992,"Deck, Fenced Yard, Front Porch",3437,0,9/18/2015,66
321,Sutherland,Atlanta,Georgia,Dekalb,30307,610000,Lin,Inman,Grady,Lake Claire Sutherland Place,2 Stories,4,3,0,0,0,1,0,0,0,"2 Car Garage, Attached, Auto Garage Door, Driveway",Slab/None,1,None,2003,"1-2 Step Entry, Fenced Yard, Front Porch, Patio",3040,1172,12/30/2013,49
370,Clifton,Atlanta,Georgia,Dekalb,30307,610000,Lin,Inman,Grady,Candler Park,2 Stories,2,2,0,1,1,0,0,0,0,"Driveway, Street","Crawl Space, Exterior Entry",1,None,1930,"Deck, Fenced Yard, Front Porch, Prof Landscaping, 1-2 Step Entry",2229,0,5/29/2015,4
330,Lake Claire,Atlanta,Georgia,Dekalb,30307,609000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,0,0,1,1,1,0,"2 Car Garage, Attached, Drive Under Main Level, Side/Rear Entry","Bath, Daylight, Finished, Interior Entry",1,None,1993,"Deck, Fenced Yard, Front Porch, Garden Area, Prof Landscaping, Satellite Dish",2697,0,6/6/2014,28
2031,Palifox,Atlanta,Georgia,Dekalb,30307,607500,Lin,Inman,Grady,Lake Claire,2 Stories,1,1,0,3,2,0,0,0,0,"Driveway, Parking Pad, Side/Rear Entry","Crawl Space, Interior Entry, Partial",2,None,1930,"Deck, Fenced Yard, Patio, Prof Landscaping",2497,0,7/30/2013,1
364,Candler,Atlanta,Georgia,Dekalb,30307,607000,Lin,Inman,Grady,Candler Park,1 & 1/2 Stories,2,1,0,2,2,0,0,0,0,1 Car Carport,Crawl Space,3,None,1925,"Fenced Yard, Front Porch, Patio, Prof Landscaping",2099,0,8/1/2014,6
279,Southerland,Atlanta,Georgia,Dekalb,30307,605000,Lin,Inman,Grady,Lake Claire,1 Story,0,0,0,3,2,1,1,1,1,"Driveway, Parking Pad","Crawl Space, Daylight, Driveway Access, Finished, Interior Entry",2,None,1911,"Deck, Front Porch, Garden Area, Other, Patio, Prof Landscaping",2675,0,9/15/2014,7
2013,Palifox,Atlanta,Georgia,Dekalb,30307,605000,Lin,Inman,Grady,Lake Claire,2 Or + Stories,2,1,0,2,1,1,0,0,0,"2 Car Carport, Auto Garage Door, Detached, Street","Daylight, Full, Interior Entry",1,None,1938,"Fenced Yard, Garden Area, Patio, Prof Landscaping",2200,0,7/6/2015,30
1341,Hooper,Atlanta,Georgia,Dekalb,30307,605000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,0,1,0,0,0,"2 Car Garage, Attached, Drive Under Main Level, Driveway","Bath, Exterior Entry, Interior Entry",1,None,1996,"Fenced Yard, Front Porch",1798,0,4/25/2016,41
582,Harold,Atlanta,Georgia,Dekalb,30307,605000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,0,0,1,0,0,0,Driveway,Partial,1,None,1990,"Deck, Fenced Yard, Front Porch",2276,0,4/11/2016,1
1359,Hooper,Atlanta,Georgia,Dekalb,30307,602200,Lin,Inman,Grady,Candler Park,1 & 1/2 Stories,0,0,0,3,2,0,1,1,0,"Driveway, Street","Daylight, Exterior Entry, Finished, Full, Interior Entry",1,None,2004,"Deck, Front Porch, Garden Area, Prof Landscaping",3124,0,6/19/2014,3
1526,Iverson,Atlanta,Georgia,Dekalb,30307,600000,Lin,Inman,Grady,Candler Park,2 Stories,4,3,0,0,0,1,0,1,0,"1-2 Step Entry, 2 Car Garage, Auto Garage Door","Partial, Unfinished",0,None,2013,"1-2 Step Entry, Deck, Patio",2100,,10/25/2013,285
1428,Miller,Atlanta,Georgia,Dekalb,30307,600000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,0,1,0,0,0,"1 Car Garage, Detached, Kitchen Level, Side/Rear Entry",Crawl Space,0,None,2011,"1-2 Step Entry, Deck, Patio",0,0,3/12/2014,14
1810,Marlbrook,Atlanta,Georgia,Dekalb,30307,600000,Lin,Inman,Grady,Lake Claire,1 & 1/2 Stories,1,1,0,3,2,0,0,0,0,"Driveway, Kitchen Level",Crawl Space,2,None,1929,"1-2 Step Entry, Fenced Yard, Front Porch, Garden Area, Prof Landscaping",2456,,4/30/2014,1
426,Ridgewood,Atlanta,Georgia,Dekalb,30307,595000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"1 Car Garage, Detached, Kitchen Level, Side/Rear Entry",Crawl Space,1,None,2013,"Fenced Yard, Garden Area, Patio",2200,0,7/25/2013,118
474,Claire,Atlanta,Georgia,Dekalb,30307,595000,Lin,Inman,Grady,Lake Claire,2 Stories,1,0,1,3,2,0,0,0,0,"2 Car Garage, Detached, Kitchen Level, Parking Pad","Interior Entry, Unfinished",1,None,1937,"Deck, Fenced Yard, Front Porch, Patio, 1-2 Step Entry",1996,0,8/10/2015,4
495,Claire,Atlanta,Georgia,Dekalb,30307,594200,Lin,Inman,Grady,Lake Claire,2 Stories,2,1,0,1,1,0,0,0,0,"Kitchen Level, Parking Pad, Side/Rear Entry","Exterior Entry, Partial",1,None,1930,"Gas Grill, Irrigation System, Out-Buildings",2356,0,7/12/2013,5
1331,Hooper,Atlanta,Georgia,Dekalb,30307,594000,Lin,Inman,Grady,Candler Park,2 Stories,0,0,0,1,1,1,2,1,0,"2 Car Garage, Attached, Auto Garage Door, Drive Under Main Level","Bath, Driveway Access, Exterior Entry, Finished, Full, Interior Entry",1,None,1995,"1-2 Step Entry, Deck, Fenced Yard, Front Porch, Garden Area, Patio",2320,0,11/6/2015,4
495,Harold,Atlanta,Georgia,Dekalb,30307,592500,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,1,0,0,0,"1 Car Garage, Auto Garage Door, Drive Under Main Level, Driveway","Crawl Space, Driveway Access, Unfinished",1,None,1950,Other,2054,0,11/10/2015,63
479,Claire,Atlanta,Georgia,Dekalb,30307,590000,Lin,Inman,Grady,Lake Claire,1 & 1/2 Stories,1,1,0,3,2,0,0,0,0,"1 Car Garage, Detached, Driveway, Street","Full, Interior Entry",1,None,1935,"Fenced Yard, Front Porch, Garden Area, Patio, Prof Landscaping",2145,0,4/30/2013,10
1194,Mansfield,Atlanta,Georgia,Dekalb,30307,590000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,1,0,0,0,0,"Kitchen Level, Parking Pad","Crawl Space, Exterior Entry",6,None,1910,"Deck, Fenced Yard, Front Porch, Garden Area, Out-Buildings, Patio",2472,0,9/30/2014,5
2090,Howard,Atlanta,Georgia,Dekalb,30307,589900,Lin,Inman,Grady,Lake Claire,1 Story,0,0,0,3,2,0,0,0,0,"Detached, Driveway",Crawl Space,1,None,2014,"Fenced Yard, Garden Area",2102,0,4/24/2014,33
2028,Tuxedo,Atlanta,Georgia,Dekalb,30307,587500,Lin,Inman,Grady,LAKE CLAIRE,2 Stories,3,2,0,1,1,0,0,0,0,1 Car Garage,"Daylight, Exterior Entry",1,None,1940,"Deck, Front Porch, Garden Area, Patio",2624,0,6/27/2012,68
428,Candler,Atlanta,Georgia,Dekalb,30307,585000,Lin,Inman,Grady,Candler Park,1 Story,0,0,0,4,2,1,0,1,0,Driveway,"Bath, Daylight, Finished, Interior Entry",3,None,1914,"Deck, Fenced Yard, Front Porch, Prof Landscaping",2650,,10/9/2012,115
500,CANDLER PARK,Atlanta,Georgia,Dekalb,30307,585000,Lin,Inman,Grady,CANDLER PARK,2 Stories,3,2,0,1,1,1,0,0,0,"Driveway, Kitchen Level",Crawl Space,1,None,1980,"Fenced Yard, Front Porch, Garden Area, Patio, Prof Landscaping",3558,0,10/31/2012,146
292,OAKDALE,Atlanta,Georgia,Dekalb,30307,585000,Lin,Inman,Grady,CANDLER PARK,2 Stories,3,2,1,2,2,0,0,0,0,2 Car Garage,Crawl Space,1,None,1900,"Fenced Yard, Front Porch, Garden Area, Prof Landscaping",2893,0,2/8/2013,234
333,Sutherland,Atlanta,Georgia,Dekalb,30307,585000,Lin,Inman,Grady,Lake Claire -Sutherland Pl,2 Stories,3,2,0,0,0,1,0,0,0,"2 Car Garage, Attached, Auto Garage Door, Side/Rear Entry",Slab/None,2,None,2004,"Fenced Yard, Front Porch, Gas Grill, Garden Area, Patio, Irrigation System, 1-2 Step Entry",2593,0,6/1/2015,22
499,Moreland,Atlanta,Georgia,Dekalb,30307,584300,Lin,Inman,Grady,Parkside,,3,3,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door, Detached","Bath, Daylight, Exterior Entry, Finished, Full, Interior Entry",1,,2003,"Cov/Enclosed Porch, Deck, Fenced Yard, Prof Landscaping, Patio, Private Backyard, Yard, Walk out balcony",3633,184,8/10/2015,14
1296,Iverson,Atlanta,Georgia,Dekalb,30307,580000,Lin,Inman,Grady,Candler Park,2 Stories,3,2,0,1,1,0,0,0,0,2 Car Garage,Interior Entry,1,None,2013,Garden Area,2400,0,4/29/2013,113
1331,Hooper,Atlanta,Georgia,Dekalb,30307,580000,Lin,Inman,Grady,Candler Park,2 Stories,0,0,0,1,1,1,2,1,0,"2 Car Garage, Drive Under Main Level, Driveway",Slab/None,1,None,1995,"Deck, Fenced Yard, Front Porch",2062,0,4/18/2014,3
325,NELMS,Atlanta,Georgia,Dekalb,30307,580000,Lin,Inman,Grady,LAKE CLAIRE,2 Or + Stories,2,2,0,2,1,0,1,1,0,"Driveway, Kitchen Level, Parking Pad","Bath, Finished, Full, Interior Entry",1,None,1997,"Fenced Yard, Garden Area, Out-Buildings, Patio",3115,0,7/14/2014,5
443,Lakeshore,Atlanta,Georgia,Dekalb,30307,580000,Lin,Inman,Grady,Lake Claire,2 Stories,5,2,0,1,1,1,0,0,0,2 Car Garage,Slab/None,0,None,1986,"Deck, Front Porch",2518,0,2/29/2016,49
620,Oakdale,Atlanta,Georgia,Dekalb,30307,580000,Lin,Inman,Grady,Candler Park,2 Stories,4,2,0,1,1,0,0,0,0,"1 Car Garage, Driveway, Kitchen Level",Crawl Space,0,None,1945,"1-2 Step Entry, Deck, Fenced Yard, Garden Area, Irrigation System, Other",0,0,4/15/2016,13
402,Lakeshore,Atlanta,Georgia,Dekalb,30307,579900,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"Detached, Driveway","Crawl Space, Interior Entry",1,None,1940,Front Porch,2275,0,6/21/2013,55
1475,Mclendon,Atlanta,Georgia,Dekalb,30307,578700,Lin,Inman,Grady,Candler Park,2 Stories,2,1,0,3,2,0,0,0,0,"1 Car Garage, Detached, Driveway, Kitchen Level",Crawl Space,4,None,1910,"Fenced Yard, Front Porch, Garden Area, Patio, Prof Landscaping",2967,0,1/22/2016,147
1327,Hooper,Atlanta,Georgia,Dekalb,30307,577500,Lin,Inman,Grady,Candler Park,2 Or + Stories,3,2,0,1,1,0,1,1,0,"1 Car Garage, Attached, Auto Garage Door, Driveway","Bath, Daylight, Exterior Entry, Full, Interior Entry",1,None,1995,"Fenced Yard, Front Porch, Patio, Prof Landscaping",0,,8/26/2013,119
501,Clifton,Atlanta,Georgia,Dekalb,30307,577000,Lin,Inman,Grady,Candler Park,2 Stories,1,1,0,3,2,0,0,0,0,"Driveway, 1-2 Step Entry",Crawl Space,1,None,1925,"Deck, Fenced Yard, Front Porch, Guest House, Carriage House, 1-2 Step Entry",1752,0,7/16/2015,4
1264,Druid,Atlanta,Georgia,Dekalb,30307,575000,Lin,Inman,Grady,Candler Park,1 & 1/2 Stories,0,0,0,3,2,0,0,0,0,"Driveway, Parking Pad","Exterior Entry, Finished, Partial",5,None,1912,"Deck, Fenced Yard, Front Porch, Gazebo, Irrigation System, Outdoor Fireplace, Patio, Prof Landscaping",2133,0,8/1/2012,15
466,HARDENDORF,Atlanta,Georgia,Dekalb,30307,575000,Lin,Inman,Grady,LAKE CLAIRE,2 Stories,1,1,0,2,1,0,0,0,0,Driveway,"Daylight, Interior Entry, Partial",1,None,1930,"Fenced Yard, Front Porch, Patio, Prof Landscaping",2090,0,9/12/2013,3
499,Moreland,Atlanta,Georgia,Dekalb,30307,575000,Lin,Inman,Grady,Moreland Avenue,,3,3,0,0,0,1,1,1,0,"2 Car Garage, Auto Garage Door","Bath, Daylight, Exterior Entry, Finished, Full",1,,2003,"Deck, Patio, Private Backyard, Prof Landscaping, Walk out balcony, Yard",3434,184,6/27/2014,46
2009,Palifox,Atlanta,Georgia,Dekalb,30307,574500,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,1,1,0,0,0,0,"2 Car Garage, Auto Garage Door, Detached, Storage Room","Exterior Entry, Interior Entry, Partial",2,None,2013,"Fenced Yard, Front Porch, Patio",2300,0,4/4/2013,91
415,Sterling,Atlanta,Georgia,Dekalb,30307,574000,Lin,Inman,Grady,Candler Park,2 Stories,1,1,0,3,1,0,0,0,0,Driveway,Slab/None,4,None,1920,"Deck, Fenced Yard, Front Porch, Prof Landscaping, Other",2078,0,12/28/2015,11
363,Candler,Atlanta,Georgia,Dekalb,30307,572500,Lin,Inman,Grady,Candler Park,1 Story,0,0,0,3,2,0,0,0,0,Driveway,"Crawl Space, Exterior Entry",4,None,1900,"Deck, Fenced Yard, Front Porch, Garden Area, Irrigation System, Patio, Prof Landscaping",1662,0,4/14/2016,4
2017,Palifox,Atlanta,Georgia,Dekalb,30307,570000,Lin,Inman,Grady,Lake Claire,2 Stories,1,1,0,2,1,0,0,0,0,Parking Pad,"Exterior Entry, Interior Entry, Unfinished",1,None,1938,"Front Porch, Garden Area, Irrigation System, Patio",0,0,12/23/2015,24
440,Candler,Atlanta,Georgia,Dekalb,30307,569000,Lin,Inman,Grady,Candler Park,1 Story,0,0,0,3,2,0,0,0,0,1 Car Garage,Slab/None,2,None,1910,"Deck, Fenced Yard, Front Porch, Garden Area, Other, Patio",1705,0,4/30/2015,9
1985,Palifox,Atlanta,Georgia,Dekalb,30307,568000,Lin,Inman,Grady,Lake Claire Candler Park,2 Stories,3,2,0,1,1,0,0,0,0,Driveway,"Interior Entry, Partial",1,None,1930,"Fenced Yard, Front Porch, Garden Area, Patio",2406,0,4/22/2013,2
498,Harold,Atlanta,Georgia,Dekalb,30307,566000,Lin,Inman,Grady,Lake Claire | Candler Park,1 & 1/2 Stories,1,1,0,2,1,0,0,0,0,Driveway,"Exterior Entry, Partial",1,None,1935,"Fenced Yard, Front Porch",1880,0,5/27/2016,8
1521,McLendon,Atlanta,Georgia,Dekalb,30307,565000,Lin,Inman,Grady,CANDLER PARK,1 & 1/2 Stories,1,1,0,3,1,0,0,0,0,"2 Car Carport, Detached, Driveway, Kitchen Level","Interior Entry, Partial, Unfinished",1,None,1918,"Fenced Yard, Front Porch, Garden Area",0,0,3/31/2014,4
324,Brooks,Atlanta,Georgia,Dekalb,30307,565000,Lin,Inman,Grady,Candler Park/Glendale Park,2 Or + Stories,2,2,0,1,1,0,0,0,0,"2 Car Garage, Attached, Drive Under Main Level, Driveway","Driveway Access, Exterior Entry, Interior Entry, Partial",1,None,1994,"Fenced Yard, Front Porch, Patio",1856,0,6/9/2015,38
1491,Mclendon,Atlanta,Georgia,Dekalb,30307,565000,Lin,Inman,Grady,Candler Park,1 Story,0,0,0,3,2,0,0,0,0,Parking Pad,"Partial, Unfinished",2,None,1915,"Deck, Front Porch",1740,0,5/20/2016,3
345,Sutherland,Atlanta,Georgia,Dekalb,30307,563200,Lin,Inman,Grady,Sutherland Place Lake Claire,2 Stories,3,3,0,0,0,1,0,0,0,"2 Car Garage, Attached, Kitchen Level",Slab/None,2,None,2004,"1-2 Step Entry, Fenced Yard, Front Porch, Patio, Prof Landscaping",3126,600,4/25/2014,17
435,Ridgewood,Atlanta,Georgia,Dekalb,30307,560000,Lin,Inman,Grady,Lake Claire,2 Stories,2,1,0,2,1,1,0,0,0,"Driveway, Kitchen Level, Parking Pad",Crawl Space,0,None,1939,"Deck, Fenced Yard, Front Porch, Garden Area, Outdoor Fireplace, Patio",2800,0,9/17/2012,25
305,Arizona,Atlanta,Georgia,Dekalb,30307,560000,Lin,Inman,Grady,Lake Claire,2 Stories,1,1,0,2,2,0,0,0,0,Driveway,Crawl Space,0,None,2004,"Carriage House, Fenced Yard, Front Porch, Out-Buildings, Outdoor Fireplace, Patio, Pool Screened/Enclosed",2460,0,11/22/2013,31
476,CLIFTON,Atlanta,Georgia,Dekalb,30307,556000,Lin,Inman,Grady,CANDLER PARK,1 Story,0,0,0,3,2,0,0,0,0,"Driveway, Parking Pad",Crawl Space,0,None,1930,"Deck, Fenced Yard",1920,0,7/29/2013,4
361,Oakdale,Atlanta,Georgia,Dekalb,30307,555500,Lin,Inman,Grady,Candler Park,1 & 1/2 Stories,1,1,0,2,1,0,0,0,0,"1 Car Carport, Driveway",Crawl Space,4,None,1910,"Fenced Yard, Front Porch, Garden Area",2510,0,7/7/2015,6
425,Euclid,Atlanta,Georgia,Dekalb,30307,555000,Lin,Inman,Grady,Candler Park,1 Story,0,0,0,3,1,1,0,0,0,"Driveway, Side/Rear Entry","Daylight, Exterior Entry, Unfinished",4,None,1910,"Deck, Fenced Yard, Front Porch, Garden Area",1899,0,2/2/2015,66
1705,Adolphus,Atlanta,Georgia,Dekalb,30307,555000,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,0,0,1,0,0,0,Parking Pad,"Interior Entry, Partial",1,None,2014,"Deck, Fenced Yard, Front Porch",2300,0,6/12/2015,65
341,Gordon,Atlanta,Georgia,Dekalb,30307,554000,Lin,Inman,Grady,Candler Park Lake Claire,2 Stories,3,2,0,0,0,1,0,0,0,"1 Car Carport, Driveway, Parking Pad","Exterior Entry, Partial, Unfinished",1,None,1988,"Deck, Fenced Yard, Front Porch, Outdoor Fireplace, Patio, Prof Landscaping",2249,,6/4/2014,32
492,Claire,Atlanta,Georgia,Dekalb,30307,552500,Lin,Inman,Grady,Lake Claire,2 Or + Stories,1,1,0,3,2,0,0,0,0,"2 Car Carport, Driveway","Exterior Entry, Full, Interior Entry",1,None,1935,"Deck, Fenced Yard, Garden Area, Out-Buildings, Prof Landscaping",2206,,11/21/2013,26
477,Ridgewood,Atlanta,Georgia,Dekalb,30307,552000,Lin,Inman,Grady,Lake Claire,1 & 1/2 Stories,2,2,0,2,1,0,0,0,0,2 Car Garage,"Full, Interior Entry",2,None,1940,"Fenced Yard, Garden Area",2896,,7/27/2012,159
1285,Druid,Atlanta,Georgia,Dekalb,30307,552000,Lin,Inman,Grady,Candler Park,1 Story,0,0,0,3,2,0,0,0,0,Driveway,"Interior Entry, Unfinished",1,None,1915,"Deck, Front Porch, 1-2 Step Entry",1819,0,10/29/2015,13
297,Nelms,Atlanta,Georgia,Dekalb,30307,549900,Lin,Inman,Grady,Lake Claire,1 & 1/2 Stories,2,1,0,1,1,1,0,0,0,"Driveway, Detached",Crawl Space,0,None,1930,"Fenced Yard, Front Porch, Garden Area, Carriage House",0,0,3/30/2016,9
316,Josephine,Atlanta,Georgia,Dekalb,30307,549000,Lin,Inman,Grady,Candler Park,2 Stories,2,1,0,2,1,0,0,0,0,"Driveway, Parking Pad, Side/Rear Entry",Crawl Space,1,None,2003,"Deck, Fenced Yard, Front Porch, Garden Area, Prof Landscaping",0,0,6/15/2016,4
2018,Mclendon,Atlanta,Georgia,Dekalb,30307,547500,Lin,Inman,Grady,Lake Claire,2 Stories,3,2,0,0,0,1,0,0,0,"1 Car Garage, Auto Garage Door, Driveway, Parking Pad",Crawl Space,1,None,2006,"Front Porch, Garden Area, Patio",2532,0,6/6/2013,4
407,Sutherland,Atlanta,Georgia,Dekalb,30307,545000,Lin,Inman,Grady,Lake Claire,2 Stories,3,3,0,0,0,1,0,0,0,2 Car Garage,Slab/None,1,None,2004,"Fenced Yard, Patio",2409,586,7/10/2014,300
